los,the (Pl. masc.),0,0
la,the (s fem),0,0
las,the (Pl. fem),0,0
un,a/one (masc.),0,0
una,a/one (fem),0,0
unos,some (masc.),0,0
unas,some (fem),0,0
A la … /  A las .. ,At … o'clock,0,0
Es la… /Son las…,It's … o'clock ( answering what time is it),0,0
A qué hora … ?,At what time … ?,0,0
Qué hora es?,What time is it,0,0
… de la mañana,… (time) in the morning,0,0
… de la noche,… (time) in the evening / night,0,0
… del la tarde,… (time) in the afternoon,0,0
la medianoche,midnight,0,0
el mediodía,noon,0,0
… menos cinco,five minutes to … (the hour),0,0
… y cinco,five after … (the hour),0,0
Está nublado,It's cloudy,0,0
Hace buen tiempo,the weather is nice,0,0
Hace calor,its hot,0,0
Hace frio,its cold,0,0
Hace mal tiempo,the weather is bad,0,0
Hace sol,it's sunny,0,0
Hace viento,it's windy,0,0
llueve,it's raining,0,0
Nieva,It's snowing,0,0
la nueve,snow,0,0
la nube,cloud,0,0
Qué tiempo hace?,What is the weather like?,0,0
el sol,the sun,0,0
la temperatura,the temperature,0,0
el viento,the wind,0,0
el invierno,winter,0,0
la primavera,spring,0,0
el otoño,fall,0,0
el verano,summer,0,0
Cuál es la feche de hoy,What is todays date?,0,0
Qué día es hoy,What is today?,0,0
Hoy es primero de septiembre,Today is September 1st,0,0
Hoy es el dos de diciembre,today is December 2,0,0
Hoy es lunes,today is Monday,0,0
Mañana es el tres de noviembre ,tomorrow is Nov. 3,0,0
enero,January,0,0
febrero,February,0,0
marzo,march,0,0
abril,April,0,0
mayo,may,0,0
junio,June,0,0
julio,July,0,0
agosto,august,0,0
septiembre,September,0,0
octubre,October,0,0
noviembre,November,0,0
diciembre,December,0,0
ser,to be,0,0
gustar,to like,0,0
lunes,Monday,0,0
martes,Tuesday,0,0
miércoles,Wednesday,0,0
jueves,Thursday,0,0
viernes,Friday,0,0
sábado,Saturday,0,0
domingo,Sunday,0,0
cero,zero,0,0
uno,one,0,0
dos,two,0,0
tres,three,0,0
cuatro,four,0,0
cinco,five,0,0
seis,six,0,0
siete,seven,0,0
ocho,eight,0,0
nueve,ninety,0,0
diez,ten,0,0
once,eleven,0,0
doce,twelve,0,0
trece,thirteen,0,0
catorce,fourteen,0,0
quince,fifteen,0,0
dieciséis,sixteen,0,0
veinte,twenty,0,0
treinta,thirty,0,0
yo soy,I am,0,0
tu eres,you are (fam),0,0
Ud. Es,you are (form),0,0
el es,he is,0,0
nosotros somos,we are,0,0
vosotros sois,y'all are (spain),0,0
Uds. Son,y'all are,0,0
ellos son,they are,0,0
yo,I (personal),0,0
tu,you (pers. Fam),0,0
usted,you (pers. Form),0,0
el,he,0,0
ella,she,0,0
nosotros / as,we,0,0
vosotros /as,y'all (spain),0,0
ustedes,y'all,0,0
ellos,they,0,0
ellas,they (all girls),0,0
alemán,German,0,0
canadiense,Canadian,0,0
chino,Chinese,0,0
cubano,Cuban,0,0
español,Spanish,0,0
estadounidense,American (from the U.S.),0,0
norteamericano,north American,0,0
francés,French,0,0
ingles,English,0,0
japonés,Japanese,0,0
mexicano,Mexican,0,0
nigeriano,Nigerian,0,0
puertorriqueño,Puerto Rican,0,0
ir a + infinitivo,going to + verb,0,0
